超商,Address,Response_X,Response_Y
711,桃園市桃園區大有路914號,121.3148191,25.0211836
711,桃園市桃園區中平路九十一號一樓,121.2928546,24.9881483
711,桃園市桃園區中平路九十一號一樓,121.2928546,24.9881483
711,桃園市桃園區文中路九十三號一樓,121.2925567,24.995744
711,桃園市桃園區玉山里秀山路95號,121.3018192,24.9884505
711,桃園市桃園區龍壽街九十六、九十八號,121.2685704,24.9811276
711,桃園市桃園區慈文路975號,121.288523,25.0004209
711,桃園市桃園區同德十一街98、100號1樓,121.2955728,25.0204568
711,桃園市桃園區莊敬路二段九十九號一樓,121.2931185,25.0224954
711,桃園市桃園區大誠路九號一樓,121.3222397,24.9837346
711,桃園市桃園區延壽街9、11號1樓,121.293411,24.9917646
711,桃園市桃園區力行路515號1樓,121.2974857,24.9990064
711,桃園市桃園區大林路六十二號一樓,121.313261,24.9873969
711,桃園市桃園區大業路一段316之7號1樓,121.3176415,25.0046255
711,桃園市桃園區大興西路二段253號1樓,121.2959064,25.0099446
711,桃園市桃園區正光二街155號1樓,121.2949842,25.000211
711,桃園市桃園區永安路８３４號１樓,121.2881624,25.0090007
711,桃園市桃園區成功路一段四十七號一樓,121.3115567,24.9924555
711,桃園市桃園區青溪一路1號及中央街223號,121.314417,25.002178
711,桃園市桃園區春日路666號1樓,121.3177657,24.9914189
711,桃園市桃園區國際路一段五三八號,121.2917673,24.9680237
711,桃園市桃園區復興路239之1、241號1樓,121.3136236,24.9907174
711,桃園市桃園區大興西路二段二０六號一樓,121.295306,25.010139
711,桃園市桃園區大興路二０五，二０七號,121.312406,25.015297
711,桃園市桃園區中山路七０一號,121.291642,24.99077
711,桃園市桃園區中平路102號一樓,121.292679,24.986958
711,桃園市桃園區中華路117號1樓,121.3083129,24.9898362
711,桃園市桃園區莊敬路二段47號,121.2934455,25.0224906
711,桃園市桃園區正康二街76號,121.3084451,25.0022131
711,桃園市桃園區民安路102號,121.2997926,24.9962427
711,桃園市桃園區永安路1018號一樓,121.3049879,24.9977388
711,桃園市桃園區永福西街113號1樓,121.2952683,24.963696
711,桃園市桃園區成功路三段48號1樓,121.3258565,24.9997275
711,桃園市桃園區莊敬路1段177號1樓,121.3002127,25.0251759
711,桃園市桃園區經國路685號1樓,121.3020985,25.0237601
711,桃園市桃園區自強路81號,121.3184474,24.9969329
711,桃園市桃園區和平路110號1樓,121.3086276,24.9955107
711,桃園市桃園區南豐三街120號一樓,121.303918,24.9822268
711,桃園市桃園區建國路156號,121.3102147,24.9853418
711,桃園市桃園區建國路41號1樓,121.3168592,24.9857328
711,桃園市桃園區建國路49之1號,121.3163271,24.9857069
711,桃園市桃園區春日路874號１樓,121.3093739,25.0152559
711,桃園市桃園區桃鶯路236號,121.3199548,24.9801512
711,桃園市桃園區桃鶯路384號1樓,121.322824,24.976613
711,桃園市桃園區泰昌三街2號,121.2937746,24.9903883
711,桃園市桃園區泰昌三街51號,121.2947126,24.9883669
711,桃園市桃園區國際路一段1095號一樓,121.289306,24.9867171
711,桃園市桃園區延平路161號一樓,121.3146667,24.9757765
711,桃園市桃園區建國路1號1樓,121.3122193,24.9851606
711,桃園市桃園區慈德街74號一樓,121.3003397,25.0077643
